"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"169","younger",4,5,0.277777777777778,-0.599999999999999,0,10,1,2.55555555555556,0.208333333333333,0.291666666666667,1.66666666666667,3
"170","younger",2,6,0.875,-0.272727272727273,2,9,0,2,0.708333333333333,0.916666666666667,2.5,1.66666666666667
"171","younger",1,4,0.875,-2.27450980392157,1,11,1,1.6,0.791666666666667,0.916666666666667,1.25,1.83333333333333
"172","younger",1,4,0.819444444444444,0.333333333333333,1,10,1,1.9,0.791666666666667,0.833333333333333,1.75,2
"173","younger",3,7,0.763888888888889,-0.302325581395348,1,10,0,2.4,0.791666666666667,0.666666666666667,1.5,3
"174","younger",3,6,0.680555555555556,-0.632911392405064,1,9,0,2.44444444444444,0.583333333333333,0.833333333333333,1.66666666666667,2.83333333333333
"175","younger",6,5,0.569444444444444,-0.9375,2,11,1,1.7,0.458333333333333,0.833333333333333,1,2.16666666666667
"176","younger",2,6,0.833333333333333,0.249999999999998,0,10,1,1.88888888888889,0.791666666666667,0.875,1,2.33333333333333
"177","younger",2,6,0.861111111111111,0.249999999999999,0,10,1,1.3,0.791666666666667,0.791666666666667,1,1.5
"178","younger",4,6,0.777777777777778,-0.872611464968153,0,10,1,1.9,0.791666666666667,0.875,2,1.83333333333333
"179","younger",5,6,0.472222222222222,-0.607142857142857,3,7,0,2,0.583333333333333,0.541666666666667,1.5,2.33333333333333
"180","younger",3,5,0.888888888888889,-0.499999999999997,1,7,0,1.7,0.75,0.916666666666667,1.5,1.83333333333333
"181","younger",7,6,0.625,-0.318471337579617,2,9,1,2.2,0.416666666666667,1,1.5,2.66666666666667
"182","younger",3,5,0.819444444444444,-1.41044776119403,2,8,0,1.7,0.791666666666667,0.833333333333333,1.25,2
"183","younger",6,7,0.652777777777778,-1.18749999999999,1,8,1,1.16666666666667,0.291666666666667,0.666666666666667,1,1.2
"184","younger",5,3,0.625,0.562499999999998,2,11,1,2.3,0.5,0.625,1.5,2.83333333333333
"185","younger",1,5,0.847222222222222,-0.333333333333335,0,10,1,2.2,0.791666666666667,0.916666666666667,1,3
"186","younger",2,6,0.902777777777778,-1.51724137931034,0,10,1,2.3,0.791666666666667,1,1.75,2.66666666666667
"187","younger",4,4,0.611111111111111,0.333333333333341,0,9,0,1.5,0.5,0.708333333333333,1.25,1.66666666666667
"188","younger",1,4,0.652777777777778,-1.15384615384615,1,10,1,1.4,0.5,0.625,1,1.66666666666667
